¿Tienes una mascota?,Mascota,Cantidad
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Perro,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Perro,1
Sí,Perro,1
Sí,Gato,1
Sí,Gato,1
No (pero me gustaría),Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Perro,1
Sí,Perro,1
Sí,Gato,1
Sí,Gato,1
Sí,Hámster,1
Sí,Perro,1
Sí,Perro,1
No (pero me gustaría),Perro,1
No (pero me gustaría),Gato,1
No (pero me gustaría),Pájaro,1
No (pero me gustaría),Pez,1
No (pero me gustaría),Ornitorrinco,1
Sí,Perro,1
Sí,Gato,1
No (pero me gustaría),Perro,1
Sí,Perro,1
Sí,Gato,1
Sí,Pez,1
Sí,Gato,1
Sí,Gato,1
Sí,Perro,1
Sí,Conejo,1
Sí,Perro,1
Sí,Perro,1
No (pero me gustaría),Perro,1
Sí,Perro,1
No (pero me gustaría),Gato,1
No (pero me gustaría),Pez,1
No (pero me gustaría),Conejo,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Perro,1
Sí,Perro,1
Sí,Perro,1
Sí,Gato,1
Sí,Gato,1
Sí,Conejo,1
Sí,Gato,1
Sí,Pez,1
Sí,Perro,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Gato,1
Sí,Gato,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
No (pero me gustaría),Perro,1
No (pero me gustaría),Gato,1
No (pero me gustaría),Conejo,1
Sí,Perro,1
Sí,Perro,1
Sí,Perro,1
Sí,Pez,1
Sí,Tortuga,1
Sí,Perro,1
Sí,Gato,1
No (pero me gustaría),Perro,1
No (pero me gustaría),Gato,1
No (pero me gustaría),Perro,1
No (pero me gustaría),Gato,1
No (pero me gustaría),Conejo,1
No (pero me gustaría),Hámster,1
Sí,Perro,1
Sí,Gato,1
Sí,Pez,1
Sí,Perro,1
No (pero me gustaría),Perro,1
No (pero me gustaría),Gato,1
Sí,Perro,1
Sí,Gato,1
Sí,Conejo,1
Sí,Gato,1
Sí,Perro,1
Sí,Gato,1
No (pero me gustaría),Gato,1
Sí,Perro,1
Sí,Gato,1
No (pero me gustaría),Perro,1
No (pero me gustaría),Pájaro,1
No (pero me gustaría),Pez,1
No (pero me gustaría),Conejo,1
No (pero me gustaría),Hámster,1
No (pero me gustaría),Mapache,1
No (pero me gustaría),Hurón,1
No (pero me gustaría),Perro,1
No (pero me gustaría),Conejo,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Perro,1
Sí,Gato,1
No (pero me gustaría),Perro,1
No (pero me gustaría),Gato,1
No (pero me gustaría),Hurón,1
Sí,Perro,1
Sí,Gato,1
Sí,Cobayo,1
Sí,Gato,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Gato,1
Sí,Gato,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Gato,1
Sí,Conejo,1
No (pero me gustaría),Gato,1
No (pero me gustaría),Pez,1
No (pero me gustaría),Hámster,1
No (pero me gustaría),Perro,1
No (pero me gustaría),Pez,1
No (pero me gustaría),Conejo,1
No (pero me gustaría),Hámster,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
No (pero me gustaría),Perro,1
Sí,Perro,1
Sí,Gato,1
No (pero me gustaría),Perro,1
No (pero me gustaría),Perro,1
No (pero me gustaría),Gato,1
Sí,Perro,1
Sí,Gato,1
Sí,Tortuga,1
No (pero me gustaría),Perro,1
Sí,Perro,1
Sí,Gato,1
Sí,Perro,1
Sí,Perro,1
Sí,Perro,1
Sí,Gato,1
Sí,Gato,1
Sí,Perro,1
